qubit,date,name,unit,value
20,2022-07-19 12:31:51-04:00,frequency,GHz,5.082277622244791
20,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3372175995104487
20,2022-07-19 00:38:01-04:00,readout_error,,0.02750000000000008
20,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.0484
20,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0066
20,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
21,2022-07-19 00:40:13-04:00,T1,us,99.97069445907607
21,2022-07-19 00:41:46-04:00,T2,us,75.12047468114797
21,2022-07-19 12:31:51-04:00,frequency,GHz,5.0935981698658495
21,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3358012541809501
21,2022-07-19 00:38:01-04:00,readout_error,,0.04720000000000002
21,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.016
21,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.07840000000000003
21,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
22,2022-07-19 07:00:35-04:00,T1,us,131.79744331967763
22,2022-07-19 00:41:46-04:00,T2,us,74.31803968615799
22,2022-07-19 12:31:51-04:00,frequency,GHz,5.056699662993444
22,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.33710426431518753
22,2022-07-19 00:38:01-04:00,readout_error,,0.015199999999999991
22,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.025000000000000022
22,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0054
22,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
23,2022-07-19 11:23:19-04:00,T1,us,188.1278285913862
23,2022-07-19 00:43:13-04:00,T2,us,72.23253677640092
23,2022-07-19 12:31:51-04:00,frequency,GHz,4.972900998810688
23,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.337396806334524
23,2022-07-19 00:38:01-04:00,readout_error,,0.026899999999999924
23,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.04459999999999997
23,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0092
23,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
24,2022-07-19 11:20:33-04:00,T1,us,125.1887806775407
24,2022-07-19 00:41:46-04:00,T2,us,37.39475290157758
24,2022-07-19 12:31:51-04:00,frequency,GHz,5.051338537144248
24,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.33866209517065726
24,2022-07-19 00:38:01-04:00,readout_error,,0.02079999999999993
24,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.02639999999999998
24,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0152
24,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
25,2022-07-19 11:23:19-04:00,T1,us,147.76490396280218
25,2022-07-19 00:43:13-04:00,T2,us,102.86855781734361
25,2022-07-19 12:31:51-04:00,frequency,GHz,4.934957675203327
25,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3225452402104976
25,2022-07-19 00:38:01-04:00,readout_error,,0.010099999999999998
25,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.01739999999999997
25,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0028
25,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
26,2022-07-19 11:20:33-04:00,T1,us,68.87617983093757
26,2022-07-19 00:41:46-04:00,T2,us,179.2528972827302
26,2022-07-19 12:31:51-04:00,frequency,GHz,4.999752745594005
26,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3377513287045508
26,2022-07-19 00:38:01-04:00,readout_error,,0.01429999999999998
26,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.022599999999999953
26,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.006
26,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
